Product Name (English),Product Status,Product Token,Product Type,Description (English),Selling Method,Case Size,Minimum Order Quantity,Item Weight,Item Weight Unit,Item Length,Item Width,Item Height,Item Dimensions Unit,Packaged Weight,Packaged Weight Unit,Packaged Length,Packaged Width,Packaged Height,Packaged Dimensions Unit,Option Status,SKU,GTIN,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,USD Unit Wholesale Price,USD Unit Retail Price,CAD Unit Wholesale Price,CAD Unit Retail Price,GBR Unit Wholesale Price,GBR Unit Retail Price,EUR Unit Wholesale Price,EUR Unit Retail Price,AUD Unit Wholesale Price,AUD Unit Retail Price,Option Image,Preorder,Ship By Date (YYYY-MM-DD),"Ship By End Date (if range, YYYY-MM-DD)",Deadline To Order (YYYY-MM-DD),Sell After Order By/Ship Date,Product Images,Made In Country,Tester Price (USD),Tester Price (CAD),Tester Price (GBP),Tester Price (EUR),Tester Price (AUD),Customizable,Customization Instructions,Customization Input Required,Customization Input Character Limit,Customization Minimum Order Quantity,Customization Charge Per Unit (USD),Customization Charge Per Unit (CAD),Customization Charge Per Unit (GBP),Customization Charge Per Unit (EUR),Customization Charge Per Unit (AUD),Continue selling when out of stock,On Hand Inventory,On Hand Inventory (Read Only),Restock Date,HS6 Tariff Code
Thank You Tulips - letterpress card,Published,p_qjvp39j757,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1311,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/59529532a034f0d09b2d77ba011f68271756b74102b16ef8f83ef61cd1636532.jpeg https://cdn.faire.com/fastly/a17602953e1f216200104a820c422a821c0813c80580091b4da3013335d760ba.jpeg,United States,,,,,,No,,,,,,,,,,Yes,146,146,,490900
Happy Birthday Rainbow - letterpress card,Published,p_8i469yr0jo,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1269,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/fdbbdf62953250cbd52f4fb407079e5d299c9f4fbcaf8e525062bb21952ab66a.jpeg https://cdn.faire.com/fastly/8171f54d9b2f64b962e043dd427b2fe4136bd9756d39fe4b148590fe7cb2385b.jpeg,United States,,,,,,No,,,,,,,,,,Yes,110,110,,490900
Happy Birthday Fancy Fox - letterpress card,Published,p_6yulr9xngf,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1267,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/551ad3774f76d57346660425500cc9372f9bcd9c3598f9bc577a029a3b43c501.jpeg https://cdn.faire.com/fastly/38699154d4aab6f9952365196307d40a6ae6df866ec2153088f63b7d369c8372.jpeg,United States,,,,,,No,,,,,,,,,,Yes,68,68,,490900
Happy Birthday Hearts & Rainbows,Published,p_6nuxu6rmz5,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1268,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/8f5c90213ee2d0553029fca9efc1997f5edd2c07af32382e00db8ed0d62bb14a.jpeg https://cdn.faire.com/fastly/2f9358ec7082be693a032dc89b641234049a72180f5d12da501c63b02a90ecd1.jpeg,United States,,,,,,No,,,,,,,,,,Yes,134,134,,490900
Happy Birthday Great Outdoors - letterpress card,Published,p_15hbtkg8om,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1252,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/4de69bb0237df1af0d5c67a065794fac588fefcbfc50ede4ecd5064823989173/1561577216.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/4f4715b5658643a1d7e6ada22fe525fc2affbffa9afd1aa155c4550a78992562/1561577297.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/c394c7cca0af3aaae015783612489239adf90f98a314fdf9faadb0bb8ef71e78/1561577301.jpg,United States,,,,,,No,,,,,,,,,,Yes,74,74,,490900
Happy Birthday Fox - letterpress card,Published,p_8zbg4cu2,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1233,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/514247928fafb1226cd8c033e972170aa8ace2017af6c562fc3bba7339f1a7da.jpeg https://cdn.faire.com/fastly/91e848d793c6c48f534cb6e7ddf3570b54fae802611eb871c57aaf8f12d6161c.jpeg https://cdn.faire.com/fastly/0d4cf07ecde6826874914f396653b3cb59f3ea0d8fdcaaaba999bd52e26bcf9e.jpeg https://cdn.faire.com/fastly/d97d21d8d94f27b7ff70880ce692aadcc096ec86357dd6d0e8275a36c2749f76.jpeg https://cdn.faire.com/fastly/932b74196659313e0825d17f0763a0a69505676f9ad24c024f352fc5f6dad09c.jpeg,United States,,,,,,No,,,,,,,,,,Yes,104,104,,490900
Happy Birthday Hedgehog - letterpress card,Published,p_e75c3yaq,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1234,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/a1a20f5e802dbc60f3765615e61d14f0a9dd964b6a4656e54574660effa819dd.jpeg https://cdn.faire.com/res/hszgttpjt/image/upload/1870d8309478e0ba0aa05528a8c9f7960271174dc3f0a26d1fc7993de0711627/1540979519.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/5265b5f6cb7502c452b77fd6e77817f4936614f75748b6fb5c78990d62cdfac4/1540979519.jpg,United States,,,,,,No,,,,,,,,,,Yes,44,44,,490900
Happy Birthday Llama - letterpress card,Published,p_8bd8k8l4,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1235,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/ab620a4d21ac2501c4f14015f35aa340be391f520aec9b65f004232c36d4e1e9.jpeg https://cdn.faire.com/res/hszgttpjt/image/upload/011d4d4493fb6185def55c04dd2cec865385b2771e08c8f0482fe33d58722480/1540979669.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/ead83d5bf4afc7ed0464a3f263b889eb6186eb716aac05cfc925a89a8dfb7da5/1540979669.jpg,United States,,,,,,No,,,,,,,,,,Yes,80,80,,490900
Happy Birthday Queen Bee - letterpress card,Published,p_an34kjfi,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1170,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/a09a0e01515481f2c56df1604d88659d9757db97f01d389504c04fe4f25ab760/1540982547.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/da395d115b1afa0674ff3b1099a559607d64b4c6a9fe1e8e4be79a6ac98ac668/1540982547.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/4673ed37c8922e3bce416fcc952f6f5518a5288add82e78a057cde1f4179b580/1540982547.jpg,United States,,,,,,No,,,,,,,,,,Yes,176,176,,490900
Happy Birthday Aged to Perfection - letterpress card,Published,p_5gukfvpi,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1176,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/f2542ec9b7d377d1ce406b5a82fbc8d423779b122dea0fe3f7749ebc9b7404ef/1540982915.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/a1c16726aba827875a6b7eab50a4e247197dbacd7cabff0a88e6af9d48424de2/1540982915.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/69585cfacd4f49814189313660fbbb7512939f8a7633873a192127857d42f078/1540982915.jpg,United States,,,,,,No,,,,,,,,,,Yes,116,116,,490900
Happy Birthday Queen Bee - letterpress card,Published,p_1zhc3ntg,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1167,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/7c3e3e02bb57bc7225a3301f8c32923721895c1827f2df98c88e961d18c9b8c3/1540982313.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/b21b25875caedcf529ad6c6b49d21a0929066071dee209097631af5e10c2b2a2/1540982313.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/a8c916eebbdad3412f8272bc934714375cde2190f32cc4ab30ed87eb05e01543/1540982313.jpg,United States,,,,,,No,,,,,,,,,,Yes,74,74,,490900
Happy Birthday Cheers - letterpress card,Published,p_1ywvei3u,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1171,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/7f9f93ad4b0a491c18f79bc9af22248dd6a72887cd0ffc139a021696d7b49ace/1540982630.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/003187edabfe1319b9b32a60e3de14f06df6ae0bab3c7ad5afb660a4496d05c2/1540982630.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/efe25f509d88d542b6ba16ec8eea1921bf8958b9b937f55806fdda974789d1c1/1540982630.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/f88ad6420c66160ea9c79c89ba40dff946c4fe7798cf826df344847040917619/1540982630.jpg,United States,,,,,,No,,,,,,,,,,Yes,164,164,,490900
Happy Birthday Cheers - letterpress card,Published,p_5qxuhsjv,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1172,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/3f63f83e4c92c6a61685a6219a01f1e01c8b27ea2a5beff186d6a08e661210f7/1540982693.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/72876fb79a017992756aac89061f494524875dd90d645dbba8031581cb5440cd/1540982693.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/ece440271bf718b5cb5843aa570adcf66e7114814c1945424d14cfc7a89d27aa/1540982693.jpg,United States,,,,,,No,,,,,,,,,,Yes,182,182,,490900
Happy Birthday Cake & Wine - letterpress card,Published,p_2z6evevl,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1168,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/fe98bc0902939d4cb63df65a1bb8f0c2c666811290b2a87a928483453defdd68/1540982385.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/9421e6512bbcde7d45e6603294c3ee9dab8e9299cb8872d80de8d911ff6fc048/1540982385.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/02b48f1a269e7bc95e24741fb78aaf791a6f45c6c4d94325e29fee0cb168aa19/1540982385.jpg,United States,,,,,,No,,,,,,,,,,Yes,134,134,,490900
Happy Birthday Owl - letterpress card,Published,p_3qqezd4867,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1249,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/24573f60cfb56a4dd439e06d930f80f36de84274470b03c668fcd4645e601f22/1561575785.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/b72791cd4c0ddbde157ca4dbc8c5b5ea653ccd5054e4bce1443ff2f531b31f75/1561575800.jpg,United States,,,,,,No,,,,,,,,,,Yes,68,68,,490900
Happy Birthday Cowboy - letterpress card,Published,p_1tqc0ig6cs,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1251,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/6225596be05358f0956f92909aef7fdf0d5450896406ac464ed7257b4706191e/1561577112.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/adfbcc558b230cbb05f02549e7c5f93b0e7974aaa927934029e3587573fd034b/1561577124.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/c5e032ba3d6a5d7634da52faabb26269ca20f096670a6d1f68bd199b23900895/1561577130.jpg,United States,,,,,,No,,,,,,,,,,Yes,170,170,,490900
Happy Birthday Sunshine - letterpress card,Published,p_4bj9auvj,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1111,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/8c46eab22b15fce2417a07774cb278726f5875533513cb39d38ddcca6522b349/1540983355.jpg,United States,,,,,,No,,,,,,,,,,Yes,128,128,,490900
Love You to the Moon - letterpress card,Published,p_19rzbtgz1d,Love Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1253,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/ecfdbc78131ff12c0660908e61e393bfaaab2783bc554f0fd77e377d0c3291d4/1561577381.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/44c70286be2404d0e37c606a96c90d5bce4f682c3d4bc4679c35e5dacc5e187a/1561577424.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/0a60ea8920b031016bb2e699c74dc474a1ef34869249cd25cad6c49b5d99740b/1561577427.jpg,United States,,,,,,No,,,,,,,,,,Yes,62,62,,490900
You are Loved - letterpress card,Published,p_1xxqpdhkir,Love Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1255,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/f8ee3cc648b5cfe8783f7e24116b6eac51a17affc12565d86e29b45d6d35d934/1561577468.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/e8eadadf61b63fd64569c509b174f0bd280a8e26fe81e80383afa80dcf1ccd01/1561577500.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/489655f438f260d8fdc4811dd9b2dd3dbee5798204628939c84de28ebb8fe9e9/1561577502.jpg,United States,,,,,,No,,,,,,,,,,Yes,104,104,,490900
You are Not Alone - letterpress card,Published,p_3kvy8x8ot4,Sympathy Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1256,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/703f6e0fd39a4901d1037b42ae12ae845774532b996f29cdf0b245ce9f514a76/1561577626.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/c2abcf6825457e9cd001100032541f369b929e6fb34f5320dd635a39b17e1d29/1561577550.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/af45e0d652bb9061e85c15f0cd5c92b453f1e5e0158c331c99b209f38ec3c5ea/1561577588.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/8e73a75c77c6f97978676636aed60abf0ab0f8f154d83aaffdd781e4c9cd401b/1561577595.jpg,United States,,,,,,No,,,,,,,,,,Yes,158,158,,490900
I am Here for You - letterpress card,Published,p_bowqglvz0w,Love Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1257,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/3e1577c78fdf0b66feae63b7dd885b1b4a07b2eb9965c72b23bee3d2ca89440b/1561577670.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/b9a42890594f2eb54ad6b3d3bda5ad10eefdf374d53f57012a10e05f4cf26b94/1561577697.jpg https://cdn.faire.com/fastly/75139ca0af0e809b30a8e57fd042d12918c333cd681f3e448b3f8c2fbb348aea.jpeg,United States,,,,,,No,,,,,,,,,,Yes,194,194,,490900
Brighter Days Ahead - letterpress cards,Published,p_evw9e61y41,Encouragement Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1258,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/3a9ddbc1a51cf12cc35fc9240a888e02227a8190d2933086d6b253f1b284a63a.jpeg https://cdn.faire.com/fastly/46e3957f16ddb39fc8b679e2222ccaa0c2b8754bdf233adcc308b2fbba98b82b.jpeg https://cdn.faire.com/fastly/1ca162e9ad23d48356d0673522164fc227adf6e3177fd1fee85db9a38166c274.jpeg,United States,,,,,,No,,,,,,,,,,Yes,170,170,,490900
Bat Mitzvah Rainbow - letterpress card,Published,p_bnbgsfdbh2,Bar/Bat-Mitzvah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1275,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/671b3f51f389e9cbedba3c1b1d8ba35b2d07e0082dc6cc500b8f79e7bb6ee0b6.jpeg https://cdn.faire.com/fastly/76f17ab8c85ba3f187fa064a5d999f294555458901efa0bcb9cfe2fa56adcf91.jpeg,United States,,,,,,No,,,,,,,,,,Yes,62,62,,490900
Bat Mitzvah Butterfly - letterpress card,Published,p_9xtzyhgyl4,Bar/Bat-Mitzvah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1276,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/50e63341e41ad25aa97c3ac2027c2fb36a992ca3886dafcfb86f0de4887c617a.jpeg,United States,,,,,,No,,,,,,,,,,Yes,62,62,,490900
Happy Anniversary Birds - letterpress cards,Published,p_2hf2sbuyb1,Anniversary Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1273,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/9723a653e3917c2c59b8967cec62641e221465973964166edccda18979ea1b17.jpeg https://cdn.faire.com/fastly/7b0e5e69aa2b4b033ee2a7ccc6c67082ed229c1bd468609badfd7c4547c74f37.jpeg,United States,,,,,,No,,,,,,,,,,Yes,74,74,,490900
Together Good Pair - letterpress cards,Published,p_46057occ37,Love Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1274,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/3c5047a3a8cd31ad7ba0c9c401425075523d80e1014f0f311a49208719478f2a.jpeg https://cdn.faire.com/fastly/98fb124e11f181086bcf908af471d3ee868c6988647fba328726cc75ca013f9d.jpeg,United States,,,,,,No,,,,,,,,,,Yes,194,194,,490900
Happily Ever After Bride & Groom - letterpress card,Published,p_7icunst3,Wedding Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1182,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/534dd935ebc1becd8924d78bec2a59f1d7a88c4c9a32ed026f59eeaf16c93e6d/1540999419.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/61cdfb37afd55963e019f3bdefaab71ff14e5ce3a187a652613ceb14eb06e44c/1540999419.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/66d0d761f6633fd31acb429936ad32dc47202bb26bedb3271bf12291dcd031bd/1540999419.jpg,United States,,,,,,No,,,,,,,,,,Yes,26,26,,490900
I Love You a Latte - letterpress card,Published,p_6ejf97jr,Love Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1212,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/res/hszgttpjt/image/upload/3dd4e8e889ea0a6610133e9fa6bce4ff0b1733841545777b5142493a4a7574de/1541001184.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/99d4b164ea5746606c0bd08edb4ab87349120f6856e62cb4909c5ff3f13fd688/1541001184.jpg https://cdn.faire.com/res/hszgttpjt/image/upload/1f24b202d23c7b5731fe907c7e29aceac551595af38a19bfc4d6251c997328a9/1541001184.jpg,United States,,,,,,No,,,,,,,,,,Yes,164,164,,490900
Thank You Rainbow - letterpress cards,Published,p_9etsnuf40a,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1271,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/acffb6ad1433577ba9667734ac08c9f39b010413b7fd128bffb3bc8bb5d64278.jpeg https://cdn.faire.com/fastly/3395346d1a40f4a57775b91bb8592f23761aeb77853abe3f227a0a6dd10ba4ea.jpeg,United States,,,,,,No,,,,,,,,,,Yes,116,116,,490900
Thank You Fancy Fox - letterpress cards,Published,p_e9zdjzizsh,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1281,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/c1ec276f970e2027e1b2f751ae413a5084fb7e6ad40f86fc459a34b25c65d7df.jpeg,United States,,,,,,No,,,,,,,,,,Yes,170,170,,490900
